Fthicket of,,This page is for brainstorming abilities. All you need here is a name for the abilitiy and a description of what its function is.,,This column is for developing the actual game text of an ability,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Ability Name,Ability Description,Rules Text,CP cost,Affinity req,W,U,B,R,G,tot,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,,NEW AFFINITY,New Aff: X,New Aff: Di,New Aff: Kyle,New Aff: Gabe
0,Passive,Flawless stride,ignore some/all difficult terrain,ignore some/all difficult terrain,5,GR,,,,,,,,5,,,,,,,,,,,,,,,
0,Passive,Flight,Various degrees of flight,"Ignore falling damage so long as you can manage a glide, glide ratio of 2:1
_____________________________________
Fly up to a minute, requiring 10x the amount of rest to recoup your flight capabilities. Very wide turns
_____________________________________
Continuous flight, wide turns
_____________________________________
Continuous flight, faster, hover
_____________________________________
Continuous flight, fastest, hover, turn on a dime",10/30/20/20/20,"9(W|U|R|B),(12)
12(W|U|R|B),(15)
14(W|U|R|B),(18)
16(W|U),(21)
19(W|U),(24)",8,8,8,8,,8,,10,40,60,80,100,,,,,,,,R4/R5/R6/R7,,,
0,Passive,Food Taster,"Detect poison, venom resistance","Your past career as a paid food taster has granted you the experience to detect poisoned food.  Additionally you are immune to venom of (idfk how poisons work but I assume it would be like catagories so like snakes vs spiders idk)

Gain +4 on perception checks to notice the presence of poison. In addition you are either immune to one poison of your choosing or have a +2 bonus against all poisons.",5,"1(B|G),(3)",,,2,,2,2,,5,,,,,,,,,,,,R1,,,
0,Passive,Force of Presence,Increase maximum auras you can sustain,You may sustain two auras at once,100,"12W,12G,(30)",9,,,,9,18,,100,,,,,,,,,,,,R10 exclusive,,,
0,Passive,Fortunate Fool,"All critical failures become normal failures, all normal failures restore a point of luck","All critical failures restore a point of luck and are reduced to normal failures, subject to DM discretion. Do not apply this to trivial or nondramatic failures. ",5,"7R,(9)
",,,,6,,6,,5,,,,,,,,,,,,R3 Exclusive,,,
0,Passive,Freedom of movement,Bonus to resist movement impairing effects,2*RANK to resist movement impairing effects (including grapples),"20
40
60","3W
3(R/G) per
 +4",3,,,3,3,6,,20,60,120,200,,,,,,,,,R3/R5/R7/R9 limited,,,
0,Passive,Ghostsense,Perceive general location of things that are ethereal,10/30/60/100ft ghostsense,"10
20
30
40","7(W),(9)
12(W),(15)
16(W),(21)
21(W),(27)",,,6,,6,6,,10,30,60,100,,,,,,,,,,,,
0,Passive,Glamour,Good looks and a likable presence such that most find it easy to open up to you.,"Unless otherwise on guard, others are more likely to react favorably (one step on impression). When making social rolls you may take 2 drain to cause your dice to explode, though if you do so and fail there are more serious consequences as adjudicated by the GM.
Everyone succeeds on 4s to remember events involving you.",15,",(21)",,,,,,,,15,,,,,,,,,,,,,,,
0,Passive,Go the Distance,Improved Athletics,Now a non action to sprint. Enemies do not gain bonus vs you when you sprint Plus something about sprint longer with no exhaustion,4,RW,2,,,2,,2,,5,,,,,,,,,,,,R1,,,
0,Passive,Hardline Negotiator,Allow second attempts on failed negotiations where there otherwise wouldn’t be one. +3 to negotiation dicepool.,Allow second attempts on failed negotiations where there otherwise wouldn’t be one. ,5,4,4,4,4,4,4,4,,5,,,,,,,,,,,,R2,,,
0,Passive,Hawk Eyed,Reduce vision penalties by 3,Reduce vision penalties by 3. This includes the penalty for attacking faraway targets.,5,"1G,(6)",,,,,3,3,,5,,,,,,,,,,,,R2,,,
0,Passive,Heavy Hitter,More likely to knockdown,Reduce the threshold for inflicting knockdown with your melee attacks by 2,15,"4R
4G",,,,4,4,8,,15,,,,,,,,,,,,R4,,,
0,Passive,Helping Hand,Ally benefits vs foes you are in melee with,You and your allies gain the benefits of ALLIES IN MELEE COMBAT when making ranged attacks into a melee.,5,(W/G),2,,,,2,2,,5,,,,,,,,,,,,R1,,,
0,Passive,Hold Breath,Practice and necessity has improved your lung capacity and oxygen usage,Quadruple the time you can hold your breath for without having to roll dice. You gain a +5 bonus against inhalation based poisons.,3,3G,,,,,3,3,,5,,,,,,,,,,,,R2,,,
0,Passive,Inevitability,Gain attack bonus after missing,"After you miss an attack, gain 2 dice on the next attack you make before the end of the next round.",5,"4R,(6)",,,,4,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,init fixing,"roll 1 extra init die at start, set aside 1 die for next round
","Roll 1 extra initiative dice at the start of combat and choose one roll to set aside. On subsequent rounds you roll dice as normal, then add this kept die and choose one die among them to set aside for the next round.",30,"9G,(18)
",,,,,12,12,,30,,,,,,,,,,,,R6 limited,,,
0,Passive,Init Growth,slowly gain initiative,"At the start of round Y, reroll all initiative dice that are lower than min(Y,1+rank). Round count resets after 5.","20,30,40","7G,(15)
10G,(21)
13G,(27)",,,,,12,12,,20,50,90,,,,,,,,,,R5/7/9 limited,,,
0,Passive,Inspiration,Inspire others to greater acts at key moments,"You gain a pool of CHA inspiration dice. As a Extra action you may give any number of inspiration dice to an ally. A creature that has inspiration dice but does not have this ability may add the inspiration dice on any roll, expending them. This pool refreshes daily, and unspent inspiration expires daily.",15,"3U,(12)",,,,,,,,15,,,,,,,,,,,,,,,
0,Passive,Invigorate,Recipients of your healing gain +1 die to all checks for a short while,"Recipients of your healing gain +1 die to all checks for a number of rounds equal to half the health restored, rounded up.",10,"12(W|G),(15)",8,,,,8,8,,10,,,,,,,,,,,,R4 exclusive,,,
0,Passive,It's all in the wrist,"Cheat at games; manipulate dice, cards","You may make a palming check to make games of chance end in your favor.  Gain +4 dice to these checks, you may spend a luck point to ensure a victory.  Additionally, you may spend a point of luck to win a bet limited to gambling such as betting on a fight or race.  May apply circumstance bonuses at the GMs discretion.",5,"4(U|R),(6)",,4,,4,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Killing Hands,Unarmed strikes deal lethal,You can choose for your unarmed strikes to do lethal damage. Your unarmed strike is a 8/2 weapon (medium size).,5,(6),4,4,4,4,4,4,,5,,,,,,,,,,,,R2 global,,,
0,Passive,Light Sleeper,"You don't take any penalty to perception checks while sleeping, you can act on the turn you wake up","You don't take any penalty to perception checks while sleeping, you can act on the turn you wake up",5,"2(R|G),(3)",,,,2,2,2,,5,,,,,,,,,,,,R1 Exclusive,,,
0,Passive,Lightning Reflexes,extra initiative dice,(RANK) extra initiative dice,"20
40
60","(12)
(18)
(24)
",8,8,8,8,8,8,,20,60,120,,,,,,,,,,R4/6/8 global,,,
0,Passive,Lingering Aura,The effects of your aura linger after affected individuals leave its zone of effect.,The effects of your auras persist for one round after an affected individual leaves the zone of effect.,20,14,14,14,14,14,14,14,,20,,,,,,,,,,,,R7 global,,,
0,Passive,Lore Master,Various bonuses granted to combat for identifying enemies,"Once per combat you may attempt to recall relevant information to help combat a type of foe. Make a knowledge roll as a half action using the appropriate skill, for every two hits on this check you add +1 die to all opposed checks against the chosen type until combat ends, to a maximum of half your LOGIC.  ",15,"4U,5(W|U),(12)
",0,10,0,0,0,10,,15,,,,,,,,,,,,R4 Exclusive,"U,UW",,
0,Passive,Magic resistance,always on resistance to magic,"Gain RANK dice to resist magical effects. You always roll to resist magical effects and are not considered willing. You can suppress this ability at will, a Extra action in combat. Resuming this ability is also a Extra action.",10 per,"4(G|U),(6)
9(G|U),(12)
14(G|U),(18)
19(G|U),(24)
24(G|U),(30)
",,4,,,4,4,,10,20,30,40,50,,,,,,8,19.2,R2/4/6/8/10 exclusive,,,
0,Passive,magical device affinity / magic sensitive / aura viewing,"Affinity: Notice items are magical with hands on inspection. Glean some idea of the magic item's function
Sensitive: Notice items are magica after a few moments of observation
Aura: Notice magical auras in addition to items, discern more specific functionality of items (identify given time)
","Affinity: Notice items are magical with hands on inspection. Glean some idea of the magic item's function
Sensitive: Notice items are magica after a few moments of observation
Aura: Notice magical auras in addition to items, discern more specific functionality of items (identify given time)
",5/5/10,"(W|U|B),3 per",,2,,,,2,,5,10,20,,,,,,,,,,R2/R6/R10 limited,,,
0,Passive,Mana Barrier,You may take up to half the damage from every hit as drain.,You may take up to half the damage from every hit as drain.,5,"4(W|B|G),(9)",6,,6,,6,6,,5,,,,,,,,,,,,R3 limited,,,
0,Passive,Master of Poisons,"Create, identify, use, resist poisons","Gain
Knowledge of poison crafting
ability to learn new poison recipes and develop your own
+3 dice vs. poison effects
+3 dice to identify poisons",20,"4(B|G),(6)",,,4,,4,4,,20,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Master smuggler,"Bonuses on sleight of hand, hiding things",Treat unattended objects one size smaller for fitting them through tight spaces,3,"2(U/B)
2(U/R)
2(B/R)",,4,4,4,,6,,3,,,,,,,,,,,,R3 Exclusive?,,,
0,Passive,Mingling,Hide in plain sight: crowds,You can always attempt a stealth check when in crowds even if observed. ,5,"4B,(6)",,,4,,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,"Natural weapons, various","Claws, Bite, Tail, blades, spines, etc",You gain a natural weapon. Additional features may be purchased to customize it.,5,4G,,,,,4,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Nothing Personal,Treated as having superior ground during a turn you have teleported.,"After teleporting, you have superior ground until the end of your turn (or end of next turn if you teleported when it wasn't your turn)",10,"7(W|U),(15)",10,10,,,,10,,10,,,,,,,,,,,,R5 limited,,,
0,Passive,Opportunist,Gain +3 dice on all readied attacks and intercepts  ,Gain +3 dice on all readied attacks and intercepts  ,5,6W,6,,,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Passive,Pain Brings Suffering,Victims of your DoTs take a dicepool penalty equal to half the total ongoing damage value.,Victims of your DoTs take a dicepool penalty equal to one quarter the total ongoing damage value.,5,"7B,(9)",,,6,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Passive,Pain tolerance,Increases number of damage boxes required to acquire wound penalties,"You require 3 + (RANK) boxes per wound penalty, rather than 3.","5
10
15
20","2(W|B|G),(6) per",4,,4,,4,4,,5,15,30,50,75,,,,,,,,R2/R4/R6/R8/R10,,,
0,Passive,Paragon of Skill,"reroll all 4s for a noncombat skill, can be taken multiple times","reroll all 4s for a noncombat skill, can be taken multiple times",20,"7(U|G),(15)",,8,,,8,8,,20,,,,,,,,,,,,R5?,,,
0,Passive,Parry and Twist,Attempting a disarm as part of a riposte only costs (5),Attempting a disarm as part of a riposte only costs (5),5,"3W
3U",3,3,,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Passive,Photographic memory,"remember stuff, prompt GM for refreshers of detail","Gain 2 dice on knowledge checks to remember something. You may recall additional relevant details by prompting the GM for a clearer picture of a memory, subject to GM discretion. Rolling memory is now faster (typically a Extra action).",3,"3U,(6)",,4,,,,4,,3,,,,,,,,,,,,R2 limited,,,
0,Passive,Projectile deflection,Parry some projectiles,"You can parry projectile based attacks from various item size categories
your size +2 (arrows, daggers)
your size +1 (thrown weapons, single target dodgeable, blockable spells)
your size (heavy thrown weapons, powder shot weapons)
",10,"7(W|U),(9)",6,6,,,,6,,10,,,,,,,,,,,,R3 Exclusive,,,
0,Passive,Prowess,Every non attack ability used increases your combat prowess,Gain +1 extra dice on all defenses and weapon attacks for each non attack ability used. This bonus stacks and lasts until the end of the round.,25,"3W,3R,3(W|U|R),(18)
",,,,,,,,25,,,,,,,,,,,,R6 limited,,,
0,Passive,quickdraw,quickdraw without check // quickdraw large items ,"Items that can be quickdrawn normally require no check and are drawn as a nonaction. Most items that cannot normally be quickdrawn may be attempted as a standard quickdraw (Extra action, roll palming vs. 2)",3,"4R,(6)",,,,4,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Ranger favored enemy,gain bonuses against specific enemy types,Gain (RANK) extra dice for checks pertaining to the chosen (sub)type. ,10x next rank,4(W/G) per,4,,,,4,4,,10,30,60,100,150,,,,,,,,R2/etc exclusive,,,
0,Passive,Ranger's Guile,"Difficult terrain doesn’t slow your group’s travel.
Your group can’t become lost except by magical means.
Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger.
If you are traveling alone, you can move stealthily at a normal pace.
When you forage, you find twice as much food as you normally would.
While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area.","Difficult terrain slows your travel by one less step.
Your group can’t become lost except by magical means.
Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger.
If you are traveling alone, you can move stealthily at a normal pace.
When you forage, you find twice as much food as you normally would.
While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area.",10,"6G,(12)",,,,,,,,10,,,,,,,,,,,,,,,
0,Passive,Reactive Dodge,Shift 10ft as part of a dodge,"As part of a dodge or when dodging on full dodge you may move 10 ft.
",5,"4U,(6)",,4,,,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Regenerating Fortitude,Restore 1 stamina on dealing damage,Once per turn when you directly cause damage to an enemy you heal 1 point of nonlethal damage.,40,"10(W|B),(21)",6,,6,,,12,,40,,,,,,,,,,,,R5-7? exclusive/limited?,,,
0,Passive,Regeneration,Converts lethal to nonlethal over time,"Convert 1 lethal to nonlethal every hour, starting with smallest wounds. Regeneration can regrow severed limbs in a day.",15,"12G,(15)",,,,,10,10,,15,,,,,,,,,,,,R5 exclusive,,,
0,Passive,Reserves of Spirit,Increase drain bar,.+RANK to drain bar,"5
10
15
...","3G,(3)",,,,,2,2,,5,15,30,50,75,105,140,180,225,275,,,R1/etc,,,
0,Passive,Resist (ELEMENT),"2x RANK dice against (ELEMENT) effects. 
W: radiant
U: cold
B: acid, dark
R: fire, lightning
G: cold, acid, fire, lightning",2x RANK dice against (ELEMENT) effects,"3
6
9
...","3G,(6)",4,4,4,4,4,4,,3,9,18,30,45,,,,,,,,R2/R4/etc,,,
0,Passive,"Resistance, General",RANK dice against elemental effects,"RANK dice against elemental effects (fire,cold,acid,lightning)","5
10
15
...","3G,(6) per
",,,,,4,4,,5,15,30,50,75,,,,,,,,R2/R4/etc,,,
0,Passive,Roll with the blows,Gain dodge bonus after being hit,"After you are hit by an attack and suffer damage, gain 1 free hit to the next defense roll you make against an attack.",10,"3W,3R,(9)",4,,4,,,6,,10,,,,,,,,,,,,R3 exclusive,,,
0,Passive,Runecarving,"Carve magical runes to delay magical effects for use at a desired time
","You cannot cast spells directly.
You can scribe up to (CAST STAT)/2 runes per day given sufficient downtime. Runes are typically scribed onto small durable objects that fit in one's hand but nearly any surface can accept runes. 
The dicepool, force and cast stat parameters of a runic spell are set when it is created. Runic spells are never affected by wound penalties.
A rune must be attuned before it can be used. A rune can be attuned as part of the action of casting the stored spell. Attuning a rune costs 2 unpreventable point sof drain damage. As a runecaster you may have up to (CAST STAT)/2 runes attuned at once. Non runecasters are limited to 1 rune and may only attune runes as part of the action of casting the stored spell.
A rune comes with (Your drain pool / 2 / spell drain value ) uses.
",0,W/U,1,1,,,,1,,0,,,,,,,,,,,,R1 open,,,
0,Passive,Scent,Detect things by sense of smell,"You can easily distinguish different scents as easily as sounds, shapes and colors. This allows you to be aware of things in the general vicinity (30ft), things that have been in an area you are closely expecting (modified by circumstances).",5,"1G,(3)",,,,,4,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,Shadowmeld,Hide in plain sight: shadows,You can always attempt a stealth check when in dimly lit or dark areas even if observed.,40,"9B,(18)",,,12,,,12,,40,,,,,,,,,,,,R6 limited,,,
0,Passive,Shield Push,Enemies you hit with your shield are subject to a free push attempt,"Whenever you hit an enemy with your shield (even if they fully soak the damage) you may attempt to push them.

Treat the shield attack's roll as the roll for the shield push, target soaks with physical soak, move them (unsoaked eDV)/4 * 5ft.",15,"6W,(12)",,,,,,,,15,,,,,,,,,,,,,,,
0,Passive,Shielded mind,bonus vs. mind affecting,Gain +RANK dice against mind affecting,5 per,"3(W|G),(6) per
",4,,,,4,4,,5,10,15,20,25,,,,,,,,R2/R4/...,,,
0,Passive,Silent as a shadow,"Climb, swim, and jump extra quietly. Quiet kills","You take no penalty for sneaking at normal speed,. Enemies take -4 to hear most sounds you make in combat",4,"4(U|B),(6)
",,4,4,,,4,,5,,,,,,,,,,,,R2 exclusive,,,
0,Passive,"Skirmishing Sharpshooter
",Threaten adjacent spaces with bow,"You may treat ranged weapons as melee weapons for purposes of threatened area and related combat modifiers. 
",20,10(R/G),,,,10,10,10,,20,,,,,,,,,,,,R5 limited,,,
0,Passive,Speedloader,Reload weapons more quickly,As a half action you may reload HITS weapons on a Palming roll.,5,",(9)",6,6,6,6,6,6,,5,,,,,,,,,,,,R3 global,,,
0,Passive,Spell drinking,invigorated by failed spells targeting user,Gain 1 temp hp when you resist a hostile spell.,5,"4U,4G,(12)",,4,,,4,8,,5,,,,,,,,,,,,R4 exclusive,,,
0,Passive,Spell Siphon,Countering a spell deals 1 drain to the caster and you heal 1 drain,Successfully countering a spell deals 1 drain to the caster and you heal 1 drain,40,"9U,9B,(24)",,,,,,,,40,,,,,,,,,,,,,,,
0,Passive,Spiderclimb,You can walk on walls as if they were level ground,"You can walk on walls as easily as ground. Climb checks are still required, thresholds are lowered.",10,"9(G|R),(12)",,,,6,6,6,,10,,,,,,,,,,,,R4 exclusive,,,
0,Passive,Spite the Ignorant,Counterspelling drains the counterspellee,"Whenever you successfully counterspell, the caster you counterspelled takes 1 unresisted drain.",20,"4U,4B,(12)",,,,,,,,20,,,,,,,,,,,,,,,
0,Passive,Stinging Denial,"Lock enemy out of ability, action you counter","When you successfully counterspell an opponents spell or ability they cannot use that ability until after the end of their next turn. 
",10,8(W/U),8,8,,,,8,,10,,,,,,,,,,,,R4 exclusive,,,
0,Passive,Stoneskin,Damage dampening (Y),Gain +1 damage dampening per rank,30 per,6G per,,,,,6,6,,30,60,90,,,,,,,,,,R3/R6/R9 limited,,,
0,Passive,Supreme Contortionist,fit through unusually small spaces,You can contort and deform your body to fit in/through spaces smaller than normal.,3,"1R,(3)
",,,,2,,2,,3,,,,,,,,,,,,R1 Open,,,
0,Passive,Tangential Luck,Various secondary effects that trigger off spending points of luck,"After you spend a point of luck, you gain +1 die to all pools until the end of the current round.",10,"9R.(12)
",,,,6,,6,,10,,,,,,,,,,,,R4 exclusive/limited?,,,
0,Passive,Telepathic link,Communicate telepathically ,"Range (LOG*10 ft). This is one way communication in which you can convey words given you and your target share a language.
_______________________
You may attune up to LOG targets for two way communication
_______________________
Attuned targets can be communicated with out to LOG*100 ft","5,10,15","2(U|B),(9) per",,4,4,,,4,,5,15,30,,,,,,,,,,R2 open,,,
0,Passive,Time is Mana,Can spend drain to cover init costs for U abilities,Spend 4 drain per (5) of a blue ability,10,"10U,(21)",,,,,,,,10,,,,,,,,,,,,,,,
0,Passive,Timely Disruption,Readied attacks also inflict their damage as a dice pool penalty to an action they interrupt.,Readied attacks also inflict half their damage as a dice pool penalty to an action they interrupt.,10,6(W/U/B),6,6,6,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Passive,Tireless,nonlethal hp +1,Increase your maximum nonlethal health by 1.,"5
10
15
...",2/4/...,,,,,2,2,,5,15,30,50,75,105,140,180,225,275,,,R1/...,,,
0,Passive,Trap finding,"trapfinding, the dangerous ones, not the anime ones","Your passive perception checks do not take the usual penalty to detect traps or other hidden/harmful mechanisms. Additionally you gain 2 dice on all checks to find such things.
",5,4(U/G),,4,,,4,4,,5,,,,,,,,,,,,R2 exclusive? open?,,,
0,Passive,Tremorsense,"Pintpoint awareness of things moving in contact with solid objects you are also in contact with, like the ground",15/45/90ft tremorsense,"10
20
30","4(R|G),(9)
9(R|G),(18)
13(R|G),(27)",,,,,6,6,,10,30,60,,,,,,,,,,R3/6/9 limited,,,
0,Passive,Uncanny Awareness,"Harder to surprise, bonuses vs. attacks you aren't aware of","You can take an active defense even when surprised, gain +6 dice on surprise checks initiated against you.",10,"4(U|R),4(U|G),4(R|G),(15)",,8,,w,8,12,,10,,,,,,,,,,,,R4/R5/R6? exclusive,,,
0,Passive,Underworld contact,It's rather easy for you to get into contact with the local criminal underground and more often than not you start out on their good side,"gain 3 dice on checks relating to interactions with or knowledge about black markets/criminal undergrounds/fences etc. You may attempt to ""know a guy"", if the DM permits, spend 1L and you find an underground contact who starts out initially friendly.",3,"1B,(3)
",,,,,,,,3,,,,,,,,,,,,,,,
0,Passive,Unmovable,"Resist various debuffs, combat maneuvers","Gain +3 dice against knockdown, disarm, grapple, balance, overrun, and other effects that forcibly move you. ",5,R3/R6/R9/R12 G limited,,,,,3,0,,5,,,,,,,,,,,,R3/R6/R9/R12 G limited,,,
0,Passive,Untrackable,You cannot be tracked in natural surroundings.,"With your guidance, the party may move through natural terrain using your stealth or survival check to cover up your tracks.  You are always untrackable when moving through natural terrain alone, however the party cannot gain the benefit of your Untrackable ability when this is the case.",5,"1G,(6)",,,,,4,4,,5,,,,,,,,,,,,R2,,,
0,Passive,Use Magic Device,"ignore racial, class, level restrictions on using a magic item",,,U,,,,,,,,,,,,,,,,,,,,,,,
0,Passive,Venomous Vitality,succeeding on a roll vs. poison grants you 1 temp hp,"Whenever you succeed on a resistance roll against a poison effect, gain 2 temp hp.",5,"3B,3G,(12)",,,,,,,,5,,,,,,,,,,,,,,,
0,Passive,Wary Traversal,reduce damage from AoOs,"Halve damage from AoOs after armor, before damage dampening.",20,???,,,,,,,,20,,,,,,,,,,,,R4 ?,,,
0,Passive,Water Walking,You can walk on water as if it were solid ground,You can walk on water as if it were solid ground,5,"7(U|G),(9)",,4,,,4,4,,5,,,,,,,,,,,,R3 limited/exclusive?,,,
0,Passive,What goes around comes around,Gain 1 die on your next attack for each damage you take,"For every 2 points of damage you take add one die to your revenge pool. Add your revenge pool to the next attack you make, this sets your revenge pool to 0 afterwards. If you have not added a die to your revenge pool in the last 3 rounds, your revenge pool resets to 0.",5,"3B,3R,(9)
",,,3,3,,6,,5,,,,,,,,,,,,R3 Exclusive,,,
0,Ritual,Awaken,Stir sentience in a creature,"24 Hour
You awaken an animal to humanlike sentience. The creature is initially indifferent to you. Awakened creatures have 3 LOG and are magical beasts. Ritual participants need to pay drain equal to the maximum health of the creature or the ritual fails.",5,"18G,(30)",,,,,12,12,,5,,,,,,,,,,,,R6 limited,,,
0,Ritual,Foretelling,Determine what fate might result from a given course of action,"1 Minute Ritual. Costs 1 drain.

Answers a question about an action to be taken in the near future (roughly 1 hour)
Weal (if the action will probably bring good results).
Woe (for bad results).Weal and woe (for both).
Nothing (for actions that don’t have especially good or bad results)
.",10,"4U,(6)",,4,,,,4,,10,,,,,,,,,,,,R2 exclusive,,,
0,Ritual,Natural Refuge,Produce a temporary refuge for you and a few others out of natural terrain,"10 Minute ritual.

The immediate local terrain reshapes itself to a form more suitable for conealment and quiet rest. This may take the form of a dense thicket wrapping itself around your encapment, a vine obscured cave developing in the earth, or similar as chosen by your GM. The immutable features of the refuge are that it is difficult for others to find (Perception TN 4) and may otherwise be passed off as a natural formation unworthy of note. Furthermore hazards and nuisances are downgraded one step (as per DM choice). Instead of swarming flies there's only a few straggling bloodsuckers, instead of the scorching heat of the desert it is uncomfortable but manageably warm, instead of pouring rain you merely have to deal with damp air and occassional droplets etc. ",15,"9G,(18)",,,,,,,,15,,,,,,,,,,,,,,,
0,Ritual,Purification,1 hour ritual to remove persistent conditions lesser abilities can't remove,"1 hour ritual. Costs 1 drain from a single participant. Targets 1 individual. Individual can roll to end any of all persistent afflictions it is suffering, gaining a +5 bonus on each roll.",10,"4W,(18)",,,,,,,,10,,,,,,,,,,,,,,,
1,Spell,Animate Object,Animate an object with varying degrees of control,,15,6(W/U),6,6,,,,6,,15,,,,,,,,,,,,R3 limiited,,,
0,Spell,Armor,Increase armor by hits,"SUST TRGT(SELF)

Add CAST STAT/2 to armor soak for the duration of this spell.
Casting this spell is a half action

Overloads

2: AoE, +10ft per
2: +3 extra armor",15,"4(W|G),(6)",4,,,,4,4,,15,,,,,,,,,,,,R2 exclusive,,,
0,Spell,Banishment,"Direct, opposed check to banish","INST TRGT TOUCH
eDV = CS + 5
Resist = Mental Resist
Soak = Physical Soak

If the target is not an extraplanar creature this spell has no effect

0: no effect
1: the target takes -5 to all rolls until the end of the round
9: the target is banished

Overloads

2: ranged
2: AoE, +5ft diameter per
2: +1 eDV
",10,"9W,(18)",10,,,,,10,,10,,,,,,,,,,,,R4/5 limited,,,
0,Spell,Call Down the Sky,Drop meteors on target locations,"This spell is cast with three consecutive full actions over three consecutive rounds, resolving asthe third full action is spent.

INST AoE
DV: CS+13 (FIRE)

Dodge/armor soak

Targets: four 20ft radius regions. A target can only be struck once by each casting of Call Down The Sky.

Overloads

2: +1 DV",50,"15R,(30)",,,,,,,,50,,,,,,,,,,,,,,,
0,Spell,Cause Fear,Affected enemies flee if able,"INST SINGLE AOE
eDV = CS + 3
Resist = mental
Soak = mental

for every 8 damage this ability would do (round up) the target takes 1 fear stack 

Overloads

2: +1 DV
2: +5ft AoE",10,"4B,(9)",,,6,,,6,,10,,,,,,,,,,,,R3 limited,,,
0,Spell,Clairvoyance,"See, hear from nearby location","SUST SELF
Range = CS*10ft

You create a scrying sensor at a nearby location within RANGE. You can see and hear as if you are at that location. Casting this spell is a half action.

Overloads

2: +CS*10 ft range",5,"4U,(9)
",,4,,,,4,,5,,,,,,,,,,,,R3. limited,,,
0,Spell,Confusion,Cause affected targets to behave erratically for duration. PENDING REWORK,"DIRECT SUST SINGLE AOE
eDV = CS + 5
Resist = mental
Soak = mental

0: no effect
1: Target rolls twice on confusion and picks their choice
9: target is confused until end of next round
each 2 beyond: Target is confused for another round

Overloads

2: +1 eDV
2: +5ft diameter

Confused:
25% does nothing
25% runs in a random direction
25% attacks nearest target
25% act normally",10,"6R,(12)",,,,6,,6,,10,,,,,,,,,,,,R3-4? limited,,,
1,Ritual,Control Weather,Control local weather,,20,6U6(G/R),,6,,6,6,12,,20,,,,,,,,,,,,R5-6 limited,,,
0,Spell,Create Light,Cause object touched to emanate light,"INST SUST

Light diameter 10ft per CS/2
Casting this spell is a half action

Overloads

1: +5ft diameter",5,"1W,(6)",4,,,,,4,,4,,,,,,,,,,,,R1-2 open,,,
0,Spell,Curse of Vulnerability,Reduce enemy's damage dampening,"SUST, AOE
10ft diameter target area
eDV =  CS + 3
Resist = Physical
Soak = Physical

Overloads

2: +1 eDV
2: +5ft diameter

For every 2 unsoaked eDV this spell inflicts a -1 damage vulnerability.",15,"6B,(12)",,,6,,,6,,15,,,,,,,,,,,,R3-4 limited,,,
0,Spell,Dampening Field,Reduce magical effects by HITS up to FORCE,"SUST AOE
10ft diameter

Reduce the DV of magical effects in the area by CS/2
Casting this spell is a half action

Overloads:

2: +5ft diameter
2: +1 additional reduction",20,6(W/U),6,6,,,,6,,20,,,,,,,,,,,,R4-5 limited? REWRITE,,,
0,Spell,Danger Sense,HITS to defensive dice pool up to FORCE/2,"SUST SELF

Add CS/2 to defensive checks (passive and active dodge,parry,block) for duration of spell
Casting this spell is a half action

Overloads

2: increase the bonus by +1",10,"7(W|U|G),(9)",2,4,,,2,4,,10,,,,,,,,,,,,R3? exclusive?,,,
0,Spell,Death Blast,Direct damage kill spell,"INST/SUST
Touch (non provoking), ranged
DV = CS+7
Resist = Dodge,Block
Soak = Armor
Overloads

2: +1DV
2: AoE per 5ft diameter, (note that it starts at 5ft effectively) 
4: Sust

",10,4B,,,4,,,4,,10,,,,,,,,,,,,R2-3 limited,,,
0,Spell,Detect Hostile Intent,Detect those with hostile intent towards caster,"SELF
5ft cone
Casting this spell is a half action

Overloads

2: +5ft radius

Grants you a sixth sense to detect creatures with hostile intent towards you within the range, LoS permitting. Perceive Magic is rolled for this sense, opposed by con.",5,"4(W|B),(9)",2,,2,,,2,,5,,,,,,,,,,,,R3 limited,,,
